original : 16.682
5 10 : 27.343
10 15 : 28.31
15 20 : 29.638
20 25 : 30.579
25 30 : 30.727
30 35 : 31.452
35 40 : 32.011
40 45 : 32.771
45 50 : 33.613
50 55 : 33.955
55 60 : 34.457
60 65 : 34.768
65 70 : 35.013
70 75 : 35.096
75 80 : 34.674
80 85 : 33.979
85 90 : 32.457
90 95 : 27.651
95 100 : 28.388
