original : 16.692
5 10 : 20.839
10 15 : 21.304
15 20 : 21.638
20 25 : 22.097
25 30 : 22.319
30 35 : 22.676
35 40 : 23.077
40 45 : 23.35
45 50 : 23.638
50 55 : 23.736
55 60 : 24.021
60 65 : 24.155
65 70 : 24.509
70 75 : 24.828
75 80 : 24.688
80 85 : 24.632
85 90 : 25.173
90 95 : 24.704
95 100 : 25.158
