original : 16.792
5 10 : 28.074
10 15 : 29.226
15 20 : 30.506
20 25 : 31.554
25 30 : 32.206
30 35 : 33.298
35 40 : 34.156
40 45 : 34.618
45 50 : 35.329
50 55 : 35.65
55 60 : 36.526
60 65 : 36.465
65 70 : 36.694
70 75 : 36.093
75 80 : 34.674
80 85 : 33.085
85 90 : 32.626
90 95 : 27.214
95 100 : 27.85
