original : 9.367
5 10 : 19.192
10 15 : 15.64
15 20 : 19.124
20 25 : 18.839
25 30 : 19.208
30 35 : 20.597
35 40 : 19.995
40 45 : 20.022
45 50 : 20.333
50 55 : 19.013
55 60 : 20.347
60 65 : 20.856
65 70 : 21.154
70 75 : 17.965
75 80 : 21.101
80 85 : 21.028
85 90 : 20.54
90 95 : 18.147
95 100 : 13.615
