search time[s]
5.0 : 0.0015698169000016194
10.0 : 0.00231134519999916
15.0 : 0.002813096099999868
20.0 : 0.0033987329000003895
25.0 : 0.0008102704999993548
30.0 : 0.0007288207999994967
35.0 : 0.0007879747999997022
40.0 : 0.0006265705999993543
45.0 : 0.00045113729999926024
50.0 : 0.0004560164000013245
55.0 : 0.0004559251000001652
60.0 : 0.0004372000000003595
65.0 : 0.00032723319999963254
70.0 : 0.00020927500000009758
75.0 : 0.00017419179999986767
80.0 : 0.00017192510000025863
85.0 : 0.00012059169999947272
90.0 : 8.208339999953296e-05
95.0 : 3.167919999995661e-05
run time[s]
5.0 : 0.002743966599999581
10.0 : 0.002903224700000884
15.0 : 0.003214116700000602
20.0 : 0.002930141700000277
25.0 : 0.00323932079999949
30.0 : 0.0034327750000002766
35.0 : 0.003464524899999688
40.0 : 0.003236783299999146
45.0 : 0.0032400458999992665
50.0 : 0.003337779300000143
55.0 : 0.0035701377000000533
60.0 : 0.0036421667999997354
65.0 : 0.0036200627000003037
70.0 : 0.0034812040999998572
75.0 : 0.0034314041000001795
80.0 : 0.003398233499999925
85.0 : 0.003497645799999738
90.0 : 0.0034145041999996905
95.0 : 0.003448895899999904
all : 0.003311179100000139
approx error[%]
5.0 : 11.100619996282264
10.0 : 14.944902032279202
15.0 : 13.185410777583343
20.0 : 14.833428680396642
25.0 : 16.791791782722594
30.0 : 10.159739798049126
35.0 : 10.722820293405164
40.0 : 6.220736279021379
45.0 : 3.3429890262741244
50.0 : 1.561771276016127
55.0 : 2.3420507791217173
60.0 : 2.868366568595401
65.0 : 2.154080854309687
70.0 : 2.3026315789473686
75.0 : 2.3026315789473686
80.0 : 1.6359649122807016
85.0 : 1.0109649122807016
90.0 : 1.0109649122807016
95.0 : 0.38596491228070173
ST size
average min ST size : 15.8
average sketchLS ST size : 16.3
