search time[s]
5.0 : 2.810359001159668e-05
10.0 : 0.003168770670890808
15.0 : 0.0045252062380313875
20.0 : 0.00040303431451320647
25.0 : 0.00027313753962516786
30.0 : 0.0004827294498682022
35.0 : 0.0003309197723865509
40.0 : 0.0005034450441598892
45.0 : 0.0002919558435678482
50.0 : 0.000543120875954628
55.0 : 0.0004231352359056473
60.0 : 0.0005920764058828353
65.0 : 0.000678306445479393
70.0 : 0.0006858997046947479
75.0 : 0.00044012703001499175
80.0 : 0.0007054463028907775
85.0 : 0.0009528446942567825
90.0 : 0.0007333535701036453
95.0 : 0.0008873146027326584
run time[s]
5.0 : 0.0023095551878213882
10.0 : 0.002478298172354698
15.0 : 0.003330640494823456
20.0 : 0.005374465137720108
25.0 : 0.004474055394530297
30.0 : 0.008422812819480896
35.0 : 0.005121570825576782
40.0 : 0.004437995329499245
45.0 : 0.00422872081398964
50.0 : 0.005104001984000206
55.0 : 0.004891148954629898
60.0 : 0.0038583345711231233
65.0 : 0.0043292813003063205
70.0 : 0.0033694490790367126
75.0 : 0.0029431790113449096
80.0 : 0.003255150839686394
85.0 : 0.0031798146665096283
90.0 : 0.0027767356485128404
95.0 : 0.002413094788789749
all : 0.005742688104510308
approx error[%]
5.0 : -0.9090909090909092
10.0 : 40.65981240981241
15.0 : 38.34235209235209
20.0 : 52.4577922077922
25.0 : 43.386724386724374
30.0 : 45.44588744588746
35.0 : 45.21500721500722
40.0 : 46.46933621933622
45.0 : 47.489538239538234
50.0 : 54.88203463203464
55.0 : 47.393578643578635
60.0 : 42.33441558441559
65.0 : 43.612193362193366
70.0 : 44.76298701298701
75.0 : 35.182900432900425
80.0 : 43.94985569985569
85.0 : 42.29906204906205
90.0 : 40.187950937950944
95.0 : 36.45815295815295
ST size
average min ST size : 9.1
average sketchLS ST size : 9.2
