search time[s]
5.0 : 0.0028533002999994394
10.0 : 0.001272929099999942
15.0 : 0.0014836915000003615
20.0 : 0.0012864501000008134
25.0 : 0.001500220900000393
30.0 : 0.0010143791999999152
35.0 : 0.0016214291999995466
40.0 : 0.002026357999999462
45.0 : 0.0014366290000008774
50.0 : 0.0017984583000005827
55.0 : 0.0023444708999992513
60.0 : 0.0015105082999996356
65.0 : 0.005400157500000091
70.0 : 0.005253687700000498
75.0 : 0.008300145999999842
80.0 : 0.007279466600000006
85.0 : 0.028808083199999678
90.0 : 0.01856643750000018
95.0 : 0.04933790379999934
run time[s]
5.0 : 0.002023912599999811
10.0 : 0.003004754099999829
15.0 : 0.0034165000000003333
20.0 : 0.0028503081999996737
25.0 : 0.0024500874999999313
30.0 : 0.0027843749999998833
35.0 : 0.002685300100000276
40.0 : 0.003183083300000433
45.0 : 0.003083158299999944
50.0 : 0.002730845899999679
55.0 : 0.0030232875999999464
60.0 : 0.002900983299999993
65.0 : 0.0027740666999998
70.0 : 0.00342662899999997
75.0 : 0.002976625099999808
80.0 : 0.0028252708999996655
85.0 : 0.0031798376000001126
90.0 : 0.0029564415999999484
95.0 : 0.0030640124999999686
all : 0.0025645958000005465
approx error[%]
5.0 : 12.568882098293864
10.0 : 33.62541380188439
15.0 : 42.06264323911384
20.0 : 44.13559969442323
25.0 : 48.48701298701299
30.0 : 49.191494779730064
35.0 : 45.98141074611662
40.0 : 56.00763941940412
45.0 : 47.076776165011466
50.0 : 54.51604278074866
55.0 : 49.0833969951617
60.0 : 48.26890756302521
65.0 : 58.66934046345811
70.0 : 63.4497071555895
75.0 : 56.906162464986
80.0 : 48.86363636363637
85.0 : 75.66844919786095
90.0 : 64.47504456327985
95.0 : 76.52546473134709
ST size
average min ST size : 14.7
average sketchLS ST size : 14.8
