original : 9.406
5 10 : 14.108
10 15 : 14.463
15 20 : 14.596
20 25 : 14.597
25 30 : 14.705
30 35 : 14.865
35 40 : 15.131
40 45 : 15.349
45 50 : 15.349
50 55 : 15.698
55 60 : 15.807
60 65 : 15.734
65 70 : 16.046
70 75 : 16.016
75 80 : 15.9
80 85 : 16.006
85 90 : 15.884
90 95 : 16.034
95 100 : 15.608
